timestamp;channel1;channel2;channel3;channel4;channel5;channel6;period1;
7660;53.2;48.5;-4.2;50.0;51.9;-10.0;6995;
7680;53.6;48.8;-5.3;50.0;51.8;-10.0;6998;
7700;54.1;48.1;-4.5;49.3;51.9;-10.0;7002;
7720;53.0;48.0;-4.5;50.5;51.5;-10.0;6997;
7740;53.0;47.9;-4.5;50.2;52.1;-10.0;6995;
7760;53.9;49.1;-4.6;50.3;51.2;-10.0;7008;
7780;53.4;48.3;-3.7;50.1;51.1;-10.0;6994;
7800;53.6;47.8;-4.6;50.2;52.1;-10.0;6998;
7820;53.6;48.8;-4.7;50.3;51.9;-10.0;7003;
7840;53.7;47.7;-5.3;50.0;52.6;-10.0;6998;
7860;54.0;48.8;-4.5;50.7;52.6;-10.0;7001;
7880;53.1;48.9;-4.6;50.2;51.1;-10.0;6994;
7900;53.8;48.2;-4.6;50.1;52.0;-10.0;7005;
7920;53.9;49.1;-4.8;50.3;52.2;-10.0;7000;
7940;53.5;48.7;-4.7;50.3;52.2;-10.0;7004;
7960;53.6;48.8;-5.3;50.0;51.7;-10.0;6999;
7980;54.0;49.2;-4.5;50.1;51.7;-10.0;7008;
8000;53.1;48.0;-4.6;49.7;51.6;-10.0;7001;
8020;53.0;48.9;-4.5;49.5;52.3;-10.0;7000;
8040;53.5;49.0;-4.5;50.3;52.1;-10.0;6992;
8060;53.7;48.9;-4.6;50.2;51.2;-10.0;7001;
8080;53.0;49.3;-4.3;50.3;52.2;-10.0;6994;
8100;53.7;48.9;-4.3;50.2;51.9;-10.0;7007;
8120;53.3;48.6;-5.5;49.3;52.0;-10.0;6994;
8140;54.0;48.8;-4.5;49.2;52.0;-10.0;7003;
8160;53.2;48.0;-5.5;50.1;52.1;-10.0;7006;
8180;53.6;48.8;-4.5;50.3;51.2;-10.0;6998;
8200;53.9;48.1;-4.8;50.0;51.9;-10.0;7007;
8220;53.2;48.4;-5.6;50.3;52.2;-10.0;6994;
8240;53.2;48.5;-4.2;50.3;51.9;-10.0;6997;
8260;53.6;48.0;-4.3;50.0;52.6;-10.0;6993;
8280;53.1;48.9;-4.5;49.5;51.5;-10.0;6991;
8300;53.2;48.0;-5.5;50.2;51.1;-10.0;7003;
8320;53.7;48.9;-4.6;50.2;51.2;-10.0;7006;
8340;53.5;47.9;-4.7;50.3;52.1;-10.0;6993;
8360;53.0;49.3;-4.4;50.2;52.1;-10.0;6995;
8380;53.7;48.8;-4.4;50.3;51.9;-10.0;7001;
8400;53.3;48.6;-5.5;50.0;51.7;-10.0;7003;
8420;53.1;48.0;-4.6;50.1;52.0;-10.0;6997;
8440;53.1;48.0;-4.6;49.9;51.6;-10.0;6997;
8460;53.7;48.7;-4.5;50.7;51.4;-10.0;7001;
8480;53.2;48.1;-3.8;49.3;51.9;-10.0;6995;
8620;53.1;48.2;-4.8;49.9;51.8;-10.0;7001;
8640;53.3;48.6;-5.5;50.0;51.8;-10.0;6999;
8660;53.4;48.3;-4.3;50.2;51.9;-10.0;7007;
8680;53.5;47.9;-4.4;50.0;51.7;-10.0;7002;
8700;53.2;48.0;-5.5;50.5;51.4;-10.0;7000;
8720;54.0;48.8;-4.5;50.4;52.3;-10.0;7009;
8740;54.3;48.5;-4.5;50.3;51.2;-10.0;6999;
8760;53.6;48.6;-4.4;50.0;51.9;-10.0;6999;
8780;53.7;48.8;-4.4;50.2;51.2;-10.0;7006;
8800;53.3;48.5;-5.5;50.0;51.7;-10.0;7002;
8820;53.2;48.4;-5.6;50.0;51.7;-10.0;7001;
8840;53.0;48.9;-4.5;49.7;51.5;-10.0;6997;
8860;53.2;48.0;-4.5;50.1;52.0;-10.0;7003;
8880;53.9;48.2;-4.6;50.1;52.0;-10.0;7000;
8900;54.1;48.3;-4.6;50.3;51.2;-10.0;7006;
8920;54.0;48.2;-4.4;50.2;52.1;-10.0;7006;
8940;53.7;48.8;-4.4;50.3;51.9;-10.0;7000;
8960;53.7;48.9;-4.3;50.0;51.7;-10.0;7001;
8980;53.0;48.9;-4.5;49.6;51.7;-10.0;7001;
9000;54.1;48.9;-4.6;49.7;52.6;-10.0;7004;
9020;53.6;49.0;-4.6;50.3;52.1;-10.0;7001;
9040;53.2;48.5;-4.4;50.3;51.2;-10.0;6998;
9060;53.7;48.8;-4.4;50.2;51.2;-10.0;7006;
9080;53.5;48.7;-4.7;50.3;51.9;-10.0;7004;
9100;53.4;48.8;-4.6;50.2;51.9;-10.0;6995;
9120;54.0;48.8;-4.5;50.0;51.9;-10.0;7005;
